==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:40:52
==============================================================
  File              : logs\echo_2026-05-17_14-40-52.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:40:54.738] [STATE_CHANGE        ] ECHO-01  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=56 e=60 s=53
[14:40:56.224] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.226] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.226] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.239] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.243] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.244] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.244] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.256] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.259] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.259] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.260] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.272] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.275] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.277] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.278] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.289] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.291] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.291] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.292] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.306] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.307] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.309] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.309] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.322] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.324] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.324] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.325] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.339] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.340] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.341] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.342] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.355] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.361] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.362] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.362] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.372] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.375] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.377] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.377] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.389] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.391] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.392] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.393] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.406] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.410] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.411] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.411] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.423] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.423] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.424] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.425] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.439] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.440] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.441] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.442] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.456] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
