
============================================================
  PROJECT ECHO – Session 2026-05-17 13:00:12
============================================================
[13:00:41.021] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:41.038] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:41.137] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:41.153] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:41.251] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:41.267] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:41.268] [STATS        ]          | pop=12  avg_hunger= 80.9  avg_energy= 23.9  hungry=11  social_events=1
[13:00:41.371] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:41.410] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:41.633] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:41.649] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:41.748] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:41.765] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:41.866] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:41.883] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:41.984] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:42.000] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:42.103] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:42.119] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:42.221] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> SEEK_FOOD
[13:00:42.587] [FOOD_FOUND   ] ECHO-07  | ate at (785, 417)
[13:00:42.604] [STATE_CHANGE ] ECHO-07  | SEEK_FOOD -> WANDER
[13:00:43.019] [FOOD_FOUND   ] ECHO-01  | ate at (577, 600)
[13:00:45.470] [STATE_CHANGE ] ECHO-07  | WANDER -> SEEK_FOOD
[13:00:46.212] [FOOD_FOUND   ] ECHO-07  | ate at (773, 453)
[13:00:46.228] [STATE_CHANGE ] ECHO-07  | SEEK_FOOD -> WANDER
[13:00:46.277] [STATS        ]          | pop=12  avg_hunger= 85.2  avg_energy= 14.1  hungry=11  social_events=0
[13:00:47.490] [FOOD_FOUND   ] ECHO-04  | ate at (786, 423)
[13:00:47.508] [STATE_CHANGE ] ECHO-04  | SEEK_FOOD -> REST
[13:00:47.607] [FOOD_FOUND   ] ECHO-03  | ate at (397, 179)
[13:00:47.623] [STATE_CHANGE ] ECHO-03  | SEEK_FOOD -> REST
[13:00:48.399] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:48.450] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:48.467] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:48.569] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:48.586] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:48.687] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:48.704] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:48.738] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
